id;topic;text
12;Deposit - General - Do you need to specifically agree to a deposit?;"Yes, you do. The obligation to provide security is not automatically required by the law; it is only limitedly mentioned there (see: How much can the deposit be?). The type and amount of the deposit must be specified in the rental agreement."
13;Deposit - Amount - How much can the deposit be?;"The deposit cannot exceed three times the monthly base rent. It's important to note that any advance payments for utilities should not be included in this calculation. If the rental includes a lump-sum payment for utilities (known as ""Warmmiete""), this should be subtracted from the total.
However, there are exceptions where the deposit can be higher:
A third party voluntarily and without request provides an additional deposit, usually to make the tenant more appealing to the landlord.
A specific, particularly expensive, or sensitive item (e.g., a new hardwood floor) is being exceptionally secured through the deposit.
Existing rental arrears need to be covered to prevent the landlord from rightfully terminating the lease.
The tenant is making the apartment more accessible (e.g., adding accessibility features), in which case they must provide additional security to cover the cost of restoring the property to its original condition."
14;Deposit - Amount - What if the deposit is too high?;"If an excessive deposit is requested, it's considered oversecurity or an ""Übersicherung"" in German. In this case, the tenant has the right to have the excess amount released. This could mean a refund of the extra money or a partial waiver of the guarantee."
15;Deposit - Amount - Does the deposit automatically increase with later rent increases? ;"No, the maximum deposit amount is calculated based on the initial base rent.
A later increase of the deposit to three times the new rent is possible, but it requires mutual agreement between the tenant and the landlord for a specific rent increase.
Whether an automatic increase can be stipulated in the rental agreement is a subject of debate. An individually negotiated clause is likely to be valid. However, because the provisions in the rental agreement typically constitute general terms and conditions (AGB), they must pass AGB review. In most cases, such a clause would be considered surprising and therefore invalid.
In practice, post-rent increase deposit raises are extremely rare."
16;Deposit - Payment - General - How can the deposit be provided?;"Typically, a savings account or a designated account is created in the tenant's name, but it is pledged to the landlord through a formal declaration or includes a restriction against withdrawal.
Alternatively, the landlord can establish an escrow account, and the tenant transfers the deposit there (referred to as a ""cash deposit"" even though it doesn't involve physical cash).
Another option is a rental guarantee, where other individuals vouch for the tenant's debts."
17;Deposit - Payment - General - Is the deposit required to be paid before the start of the tenancy?;"No, according to § 551 Abs. 2 BGB (German Civil Code), at the beginning of the tenancy, only one-third of the deposit is due. The remaining two-thirds are payable with the subsequent rent payments.
However, this provision is seen as a significant shortcoming in the law. A tenant who needs to pay the deposit in installments is often viewed with suspicion by landlords. It's frequently assumed that such a tenant may become financially unreliable at the slightest financial hiccup.
As a result, this provision is rarely relevant in practice, as most tenants voluntarily pay the full deposit before moving in."
18;Deposit - Payment - General - Can the landlord ask for the deposit in cash?;The landlord cannot ask for the deposit in cash because it would mix with their personal money. Additionally, the deposit must be invested with interest.
19;Deposit - Payment - General - What can the landlord do if the tenant simply doesn't pay the deposit?;"In such a case, the landlord can and should immediately file a lawsuit to claim the deposit. It's important to note that the payment claim should only be for the three installments (as mentioned earlier), not for immediate full payment unless the final installment is also due.
Additionally, according to § 569 Abs. 2a, non-payment of the deposit is treated the same as non-payment of rent. If the deposit arrears amount to at least two months' worth of base rent, then the landlord can pursue eviction without notice."
20;Deposit - Payment - General - Do you have to pay any deposit if the deposit agreement is invalid?;However, not every mistake renders the deposit clauses entirely invalid. Instead, if the deposit is set too high, the result is that the maximum allowable deposit will apply. If it was agreed that the deposit must be paid in full immediately, the tenant still has the right to pay it in installments as per legal requirements.
21;Deposit - Payment - Rental Guarantee - When is a rental guarantee advisable?;A rental guarantee, often provided by parents, can be a sensible option, especially for younger tenants. Firstly, younger individuals often don't have sufficient personal funds to cover both moving expenses, potential furniture costs, and a three-month rent deposit. Secondly, parents are often willing to go beyond the typical three-month rent guarantee and step in to cover additional costs in case of financial difficulties. This makes a rental guarantee particularly beneficial for younger tenants.
22;Deposit - Payment - Rental Guarantee - What form should the rental guarantee take?;"Every guarantee declaration must be made in writing (according to § 766 of the German Civil Code, BGB). This means that an email or fax won't suffice; instead, a handwritten and physically signed document in its original form is required. It's best for the landlord to have this document handed over and securely stored."
23;Deposit - Payment - Rental Guarantee - Can a rental guarantee and a deposit account be requested together?;"In theory, yes, but the total amount is still limited to three times the monthly base rent. For example, if the monthly rent is 600 euros, a total deposit of 1800 euros can be agreed upon. This could be structured as 800 euros in a savings account and 1000 euros as a rental guarantee.
However, if the combination of the rental guarantee and the deposit account exceeds the maximum limit (for instance, in the above example, 1500 euros in the savings account and 1000 euros in the rental guarantee), the landlord can keep the entire savings account, but the guarantee is only effective up to 300 euros."
24;Deposit - Payment - Rental Guarantee - Can a guarantee from multiple people be arranged?;"Yes, in such a case, all guarantors are jointly liable, meaning each guarantor is responsible for the full amount. They do not share the liability. Therefore, the agreed-upon guarantee amount (up to a maximum of three times the monthly base rent) remains the same, regardless of the number of guarantors.
However, the landlord has the choice of which guarantor to approach for payment. If one guarantor is unable or unwilling to pay in full, the landlord can turn to the next guarantor in line.
"
25;Deposit - Storing - Can the landlord store the deposit in their personal account?;No, they cannot. In the event of the landlord's insolvency, the deposit would be at risk, and it might not be possible to return it to the tenant at the end of the tenancy. The landlord is required to keep the deposit separate from their personal assets to ensure that their creditors cannot access it.
26;Deposit - Storing - Can the landlord access the deposit during the tenancy?;"Yes, but only if the claim has been legally determined or is undisputed. In this way, the landlord cannot create facts without going through the legal process.
If the landlord legitimately accesses the deposit, the tenant is obligated to replenish the account with the resulting difference.
In the end, this procedure doesn't yield a different outcome than if the tenant had directly fulfilled the landlord's claim. Therefore, this approach is relatively rare.
However, there is one advantage: it allows for the enforcement of small amounts (e.g., a €52.38 utility bill) that one wouldn't typically take to court. When several such small amounts accumulate, it may eventually be worthwhile to file a claim for the replenishment of the deposit."
27;Deposit - Storing - What can the tenant do if they are not provided proof of the correct deposit placement?;"In this case, the landlord is in violation of their obligation under § 551 Abs. 3 Satz 3 BGB. The tenant can withhold their rent to exert pressure on the landlord. However, the amount of rent withheld should not exceed the amount of the deposit.
Caution: Since the deposit is typically and at most three times the monthly base rent, the tenant should not simply withhold three months' worth of the total rent, which includes utilities."
28;Deposit - Storing - Does the deposit have to earn interest?;"Yes, the deposit must be invested at ""the customary interest rate for savings deposits with a three-month notice period,"" which currently is close to zero percent. The interest earned is added to the deposit account, thereby increasing the security during the tenancy (§ 551 Abs. 3 Satz 4), and it belongs to the tenant after the end of the tenancy (Satz 3)."
29;Deposit - Storing - Can the deposit be invested in stocks or funds?;In theory, yes, if the landlord and tenant agree to it. However, in practice, such an arrangement is extremely rare, and I have never heard of such an agreement being used.
30;Deposit - Storing - Is the deposit transferred with the sale of the rental property?;"In principle, yes, because the new landlord assumes all the rights and obligations of the old landlord (§ 566a BGB, German Civil Code). However, when there's a pledged account, the tenant must change the beneficiary of the pledge. If the tenant refuses, the old landlord must release the deposit, provided they have no further claims against the tenant. Then, the new landlord must secure their own deposit.
Additionally, the original landlord remains liable for the deposit if they have transferred it to the new landlord (§ 566a BGB). To protect themselves, the old landlord must either refund the deposit to the tenant (so that the new landlord can request the deposit from the tenant again) or obtain a waiver from the tenant regarding any recourse.
"
